ID,Total,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone,twentytwo,twentythree
91101,143,12,54,43,11,7,9,7,24,8,2,3,1,1,1,1,3,4,2,2,0,2,0,3,2,3,0,5,10,14,28,24
92711,353,53,115,80,31,20,24,30,32,33,21,8,4,1,0,1,3,7,3,9,8,3,10,3,14,12,31,16,19,30,28,57
92206,339,30,119,127,29,15,8,11,39,40,36,19,16,2,4,1,2,3,3,1,1,3,3,6,4,5,6,5,17,35,42,46
90503,131,19,45,28,9,10,9,11,15,2,4,0,0,1,0,1,0,1,3,3,2,1,4,3,6,3,4,2,9,20,25,22
91223,42,1,11,23,6,0,1,0,4,3,3,1,2,0,0,0,0,0,0,0,0,1,0,1,3,1,3,4,5,5,3,3
90603,66,12,27,9,3,4,6,5,6,5,0,0,2,1,0,0,0,0,0,0,1,2,2,0,0,0,1,6,2,4,14,20
90406,239,42,61,42,31,21,25,17,23,11,4,3,0,4,0,1,1,0,1,4,1,1,3,3,5,13,5,8,21,43,34,50
92613,14,1,3,3,1,1,3,2,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2,1
92911,86,11,23,23,5,7,8,9,10,4,3,2,1,0,0,0,3,1,1,1,1,1,2,1,4,0,2,1,0,8,19,21
90731,454,48,124,104,44,48,41,45,41,18,12,7,0,3,1,2,2,1,1,7,2,7,5,2,9,8,15,48,67,66,69,61
91201,256,28,72,84,34,14,9,15,32,13,10,7,5,2,2,0,2,1,0,1,2,6,9,5,3,12,15,12,14,25,34,44
93106,192,27,47,48,23,15,15,17,21,15,8,8,5,1,2,1,0,5,4,4,2,1,4,6,6,9,6,7,9,16,19,33
92923,364,46,111,91,30,18,23,45,29,24,17,10,3,3,0,4,8,6,5,8,10,5,9,13,11,11,19,12,27,29,52,49
90504,114,15,38,25,17,10,8,1,13,13,2,0,1,1,1,0,1,2,3,2,0,0,1,2,2,2,0,4,6,12,17,29
90401,74,12,9,12,17,3,11,10,3,6,5,1,6,4,3,0,1,0,1,1,1,1,0,2,0,0,4,7,2,13,10,3
90700,669,101,209,154,28,33,54,90,78,52,26,4,1,0,1,1,1,7,9,5,7,11,14,8,20,21,17,38,50,85,93,120
90407,297,45,90,91,20,11,17,23,50,27,6,4,2,1,3,3,2,0,1,1,0,0,2,2,0,3,4,18,15,29,59,65
91129,459,81,125,141,26,32,27,27,74,58,28,17,16,7,0,3,1,1,3,3,6,1,5,5,6,4,4,13,18,39,63,84
92006,571,42,168,237,34,39,28,23,84,69,48,27,12,9,0,0,1,3,4,3,9,3,5,8,9,14,12,17,28,42,84,80
90307,401,58,114,99,31,27,37,35,38,22,16,7,2,2,0,1,0,3,6,4,5,8,7,7,10,16,13,25,33,55,56,65
